constructorId,url,name,nationality
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish
lotus_racing,http://en.wikipedia.org/wiki/Lotus_Racing,Lotus,Malaysian
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
virgin,http://en.wikipedia.org/wiki/Virgin_Racing,Virgin,British
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish
lotus_racing,http://en.wikipedia.org/wiki/Lotus_Racing,Lotus,Malaysian
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
virgin,http://en.wikipedia.org/wiki/Virgin_Racing,Virgin,British
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
caterham,http://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
marussia,http://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
caterham,http://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
marussia,http://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
caterham,http://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
marussia,http://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
manor,http://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
manor,http://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
