season,round,raceId,driverId,position,time,lap
2012,1,Australian Grand Prix,button,1,1:39.264,1
2012,1,Australian Grand Prix,hamilton,2,1:40.622,1
2012,1,Australian Grand Prix,michael_schumacher,3,1:42.002,1
2012,1,Australian Grand Prix,rosberg,4,1:42.666,1
2012,1,Australian Grand Prix,vettel,5,1:43.029,1
2012,1,Australian Grand Prix,grosjean,6,1:43.730,1
2012,1,Australian Grand Prix,maldonado,7,1:44.212,1
2012,1,Australian Grand Prix,alonso,8,1:44.733,1
2012,1,Australian Grand Prix,webber,9,1:45.336,1
2012,1,Australian Grand Prix,massa,10,1:46.714,1
2012,1,Australian Grand Prix,kobayashi,11,1:46.880,1
2012,1,Australian Grand Prix,perez,12,1:47.256,1
2012,1,Australian Grand Prix,raikkonen,13,1:48.460,1
2012,1,Australian Grand Prix,glock,14,1:50.819,1
2012,1,Australian Grand Prix,resta,15,1:50.849,1
2012,1,Australian Grand Prix,vergne,16,1:52.099,1
2012,1,Australian Grand Prix,kovalainen,17,1:53.018,1
2012,1,Australian Grand Prix,pic,18,1:55.732,1
2012,1,Australian Grand Prix,petrov,19,1:55.829,1
2012,1,Australian Grand Prix,bruno_senna,20,2:16.893,1
2012,1,Australian Grand Prix,ricciardo,21,2:37.333,1
2012,1,Australian Grand Prix,button,1,1:33.414,2
2012,1,Australian Grand Prix,hamilton,2,1:34.297,2
2012,1,Australian Grand Prix,michael_schumacher,3,1:35.127,2
2012,1,Australian Grand Prix,vettel,4,1:35.160,2
2012,1,Australian Grand Prix,rosberg,5,1:36.234,2
2012,1,Australian Grand Prix,alonso,6,1:35.866,2
2012,1,Australian Grand Prix,maldonado,7,1:36.857,2
2012,1,Australian Grand Prix,webber,8,1:35.939,2
2012,1,Australian Grand Prix,massa,9,1:36.908,2
2012,1,Australian Grand Prix,kobayashi,10,1:37.177,2
2012,1,Australian Grand Prix,perez,11,1:37.300,2
2012,1,Australian Grand Prix,raikkonen,12,1:36.631,2
2012,1,Australian Grand Prix,resta,13,1:36.182,2
2012,1,Australian Grand Prix,glock,14,1:38.975,2
2012,1,Australian Grand Prix,vergne,15,1:37.919,2
2012,1,Australian Grand Prix,kovalainen,16,1:37.690,2
2012,1,Australian Grand Prix,petrov,17,1:37.612,2
2012,1,Australian Grand Prix,pic,18,1:40.285,2
2012,1,Australian Grand Prix,bruno_senna,19,1:42.348,2
2012,1,Australian Grand Prix,ricciardo,20,1:44.100,2
2012,1,Australian Grand Prix,button,1,1:33.350,3
2012,1,Australian Grand Prix,hamilton,2,1:33.566,3
2012,1,Australian Grand Prix,michael_schumacher,3,1:34.402,3
2012,1,Australian Grand Prix,vettel,4,1:33.848,3
2012,1,Australian Grand Prix,rosberg,5,1:34.825,3
2012,1,Australian Grand Prix,alonso,6,1:34.081,3
2012,1,Australian Grand Prix,maldonado,7,1:34.569,3
2012,1,Australian Grand Prix,webber,8,1:34.896,3
2012,1,Australian Grand Prix,massa,9,1:35.111,3
2012,1,Australian Grand Prix,kobayashi,10,1:35.312,3
2012,1,Australian Grand Prix,perez,11,1:35.783,3
2012,1,Australian Grand Prix,raikkonen,12,1:35.743,3
2012,1,Australian Grand Prix,resta,13,1:35.767,3
2012,1,Australian Grand Prix,vergne,14,1:35.159,3
2012,1,Australian Grand Prix,glock,15,1:38.691,3
2012,1,Australian Grand Prix,kovalainen,16,1:38.084,3
2012,1,Australian Grand Prix,petrov,17,1:36.479,3
2012,1,Australian Grand Prix,pic,18,1:38.405,3
2012,1,Australian Grand Prix,bruno_senna,19,1:36.241,3
2012,1,Australian Grand Prix,ricciardo,20,1:35.145,3
2012,1,Australian Grand Prix,button,1,1:33.131,4
2012,1,Australian Grand Prix,hamilton,2,1:33.347,4
2012,1,Australian Grand Prix,michael_schumacher,3,1:34.021,4
2012,1,Australian Grand Prix,vettel,4,1:34.148,4
2012,1,Australian Grand Prix,rosberg,5,1:34.497,4
2012,1,Australian Grand Prix,alonso,6,1:34.186,4
2012,1,Australian Grand Prix,maldonado,7,1:34.068,4
2012,1,Australian Grand Prix,webber,8,1:34.585,4
2012,1,Australian Grand Prix,massa,9,1:35.243,4
2012,1,Australian Grand Prix,perez,10,1:35.517,4
2012,1,Australian Grand Prix,kobayashi,11,1:37.945,4
2012,1,Australian Grand Prix,raikkonen,12,1:36.903,4
2012,1,Australian Grand Prix,resta,13,1:35.422,4
2012,1,Australian Grand Prix,vergne,14,1:34.567,4
2012,1,Australian Grand Prix,glock,15,1:37.576,4
2012,1,Australian Grand Prix,kovalainen,16,1:37.656,4
2012,1,Australian Grand Prix,petrov,17,1:37.006,4
2012,1,Australian Grand Prix,pic,18,1:38.239,4
2012,1,Australian Grand Prix,bruno_senna,19,1:36.368,4
2012,1,Australian Grand Prix,ricciardo,20,1:34.200,4
2012,1,Australian Grand Prix,button,1,1:32.984,5
2012,1,Australian Grand Prix,hamilton,2,1:33.446,5
2012,1,Australian Grand Prix,michael_schumacher,3,1:34.359,5
2012,1,Australian Grand Prix,vettel,4,1:34.174,5
2012,1,Australian Grand Prix,rosberg,5,1:34.330,5
2012,1,Australian Grand Prix,alonso,6,1:34.220,5
2012,1,Australian Grand Prix,webber,7,1:33.879,5
2012,1,Australian Grand Prix,massa,8,1:35.208,5
2012,1,Australian Grand Prix,maldonado,9,1:40.441,5
2012,1,Australian Grand Prix,perez,10,1:34.760,5
2012,1,Australian Grand Prix,kobayashi,11,1:34.491,5
2012,1,Australian Grand Prix,raikkonen,12,1:34.882,5
2012,1,Australian Grand Prix,resta,13,1:35.600,5
2012,1,Australian Grand Prix,vergne,14,1:35.085,5
2012,1,Australian Grand Prix,glock,15,1:37.679,5
2012,1,Australian Grand Prix,kovalainen,16,1:37.540,5
2012,1,Australian Grand Prix,petrov,17,1:37.796,5
2012,1,Australian Grand Prix,pic,18,1:38.622,5
2012,1,Australian Grand Prix,bruno_senna,19,1:35.740,5
2012,1,Australian Grand Prix,ricciardo,20,1:34.304,5
2012,2,Malaysian Grand Prix,hamilton,1,2:03.650,1
2012,2,Malaysian Grand Prix,button,2,2:04.743,1
2012,2,Malaysian Grand Prix,webber,3,2:05.725,1
2012,2,Malaysian Grand Prix,vettel,4,2:06.725,1
2012,2,Malaysian Grand Prix,alonso,5,2:07.439,1
2012,2,Malaysian Grand Prix,rosberg,6,2:09.366,1
2012,2,Malaysian Grand Prix,maldonado,7,2:09.760,1
2012,2,Malaysian Grand Prix,raikkonen,8,2:10.720,1
2012,2,Malaysian Grand Prix,kobayashi,9,2:11.587,1
2012,2,Malaysian Grand Prix,massa,10,2:12.494,1
2012,2,Malaysian Grand Prix,perez,11,2:13.327,1
2012,2,Malaysian Grand Prix,resta,12,2:13.340,1
2012,2,Malaysian Grand Prix,hulkenberg,13,2:13.710,1
2012,2,Malaysian Grand Prix,vergne,14,2:14.402,1
2012,2,Malaysian Grand Prix,kovalainen,15,2:14.525,1
2012,2,Malaysian Grand Prix,michael_schumacher,16,2:15.867,1
2012,2,Malaysian Grand Prix,ricciardo,17,2:15.995,1
2012,2,Malaysian Grand Prix,petrov,18,2:16.726,1
2012,2,Malaysian Grand Prix,glock,19,2:16.754,1
2012,2,Malaysian Grand Prix,pic,20,2:18.491,1
2012,2,Malaysian Grand Prix,grosjean,21,2:19.773,1
2012,2,Malaysian Grand Prix,karthikeyan,22,2:20.953,1
2012,2,Malaysian Grand Prix,rosa,23,2:25.229,1
2012,2,Malaysian Grand Prix,bruno_senna,24,2:34.869,1
2012,2,Malaysian Grand Prix,hamilton,1,2:05.093,2
2012,2,Malaysian Grand Prix,button,2,2:05.677,2
2012,2,Malaysian Grand Prix,webber,3,2:06.427,2
2012,2,Malaysian Grand Prix,vettel,4,2:06.856,2
2012,2,Malaysian Grand Prix,alonso,5,2:07.294,2
2012,2,Malaysian Grand Prix,rosberg,6,2:06.754,2
2012,2,Malaysian Grand Prix,maldonado,7,2:07.289,2
2012,2,Malaysian Grand Prix,raikkonen,8,2:08.117,2
2012,2,Malaysian Grand Prix,kobayashi,9,2:08.004,2
2012,2,Malaysian Grand Prix,massa,10,2:08.738,2
2012,2,Malaysian Grand Prix,hulkenberg,11,2:09.349,2
2012,2,Malaysian Grand Prix,vergne,12,2:09.361,2
2012,2,Malaysian Grand Prix,michael_schumacher,13,2:09.342,2
2012,2,Malaysian Grand Prix,kovalainen,14,2:11.628,2
2012,2,Malaysian Grand Prix,ricciardo,15,2:10.299,2
2012,2,Malaysian Grand Prix,resta,16,2:13.366,2
2012,2,Malaysian Grand Prix,petrov,17,2:10.744,2
2012,2,Malaysian Grand Prix,grosjean,18,2:08.464,2
2012,2,Malaysian Grand Prix,glock,19,2:12.536,2
2012,2,Malaysian Grand Prix,pic,20,2:13.882,2
2012,2,Malaysian Grand Prix,karthikeyan,21,2:13.354,2
2012,2,Malaysian Grand Prix,rosa,22,2:13.395,2
2012,2,Malaysian Grand Prix,perez,23,2:26.230,2
2012,2,Malaysian Grand Prix,bruno_senna,24,2:34.817,2
2012,2,Malaysian Grand Prix,hamilton,1,2:07.896,3
2012,2,Malaysian Grand Prix,button,2,2:08.213,3
2012,2,Malaysian Grand Prix,webber,3,2:09.052,3
2012,2,Malaysian Grand Prix,vettel,4,2:10.650,3
2012,2,Malaysian Grand Prix,alonso,5,2:10.363,3
2012,2,Malaysian Grand Prix,rosberg,6,2:10.115,3
2012,2,Malaysian Grand Prix,maldonado,7,2:10.571,3
2012,2,Malaysian Grand Prix,raikkonen,8,2:11.713,3
2012,2,Malaysian Grand Prix,kobayashi,9,2:11.984,3
2012,2,Malaysian Grand Prix,hulkenberg,10,2:10.901,3
2012,2,Malaysian Grand Prix,vergne,11,2:11.797,3
2012,2,Malaysian Grand Prix,massa,12,2:15.860,3
2012,2,Malaysian Grand Prix,michael_schumacher,13,2:12.049,3
2012,2,Malaysian Grand Prix,kovalainen,14,2:13.602,3
2012,2,Malaysian Grand Prix,ricciardo,15,2:13.782,3
2012,2,Malaysian Grand Prix,petrov,16,2:13.669,3
2012,2,Malaysian Grand Prix,grosjean,17,2:12.909,3
2012,2,Malaysian Grand Prix,glock,18,2:18.432,3
2012,2,Malaysian Grand Prix,perez,19,2:09.943,3
2012,2,Malaysian Grand Prix,karthikeyan,20,2:16.057,3
2012,2,Malaysian Grand Prix,pic,21,2:21.749,3
2012,2,Malaysian Grand Prix,rosa,22,2:16.224,3
2012,2,Malaysian Grand Prix,resta,23,2:29.457,3
2012,2,Malaysian Grand Prix,bruno_senna,24,2:09.482,3
2012,2,Malaysian Grand Prix,hamilton,1,2:11.167,4
2012,2,Malaysian Grand Prix,webber,2,2:13.473,4
2012,2,Malaysian Grand Prix,button,3,2:16.303,4
2012,2,Malaysian Grand Prix,vettel,4,2:13.699,4
2012,2,Malaysian Grand Prix,rosberg,5,2:14.564,4
2012,2,Malaysian Grand Prix,maldonado,6,2:14.693,4
2012,2,Malaysian Grand Prix,alonso,7,2:18.201,4
2012,2,Malaysian Grand Prix,raikkonen,8,2:14.580,4
2012,2,Malaysian Grand Prix,kobayashi,9,2:14.660,4
2012,2,Malaysian Grand Prix,vergne,10,2:14.900,4
2012,2,Malaysian Grand Prix,michael_schumacher,11,2:13.977,4
2012,2,Malaysian Grand Prix,hulkenberg,12,2:17.633,4
2012,2,Malaysian Grand Prix,perez,13,2:10.036,4
2012,2,Malaysian Grand Prix,ricciardo,14,2:19.635,4
2012,2,Malaysian Grand Prix,petrov,15,2:21.281,4
2012,2,Malaysian Grand Prix,kovalainen,16,2:24.598,4
2012,2,Malaysian Grand Prix,karthikeyan,17,2:15.986,4
2012,2,Malaysian Grand Prix,massa,18,2:31.014,4
2012,2,Malaysian Grand Prix,resta,19,2:13.148,4
2012,2,Malaysian Grand Prix,rosa,20,2:19.227,4
2012,2,Malaysian Grand Prix,glock,21,2:32.496,4
2012,2,Malaysian Grand Prix,bruno_senna,22,2:13.115,4
2012,2,Malaysian Grand Prix,pic,23,2:43.560,4
2012,2,Malaysian Grand Prix,hamilton,1,2:18.582,5
2012,2,Malaysian Grand Prix,webber,2,2:19.793,5
2012,2,Malaysian Grand Prix,vettel,3,2:23.382,5
2012,2,Malaysian Grand Prix,rosberg,4,2:24.736,5
2012,2,Malaysian Grand Prix,maldonado,5,2:24.173,5
2012,2,Malaysian Grand Prix,button,6,2:31.560,5
2012,2,Malaysian Grand Prix,raikkonen,7,2:24.665,5
2012,2,Malaysian Grand Prix,perez,8,2:12.859,5
2012,2,Malaysian Grand Prix,kobayashi,9,2:26.926,5
2012,2,Malaysian Grand Prix,michael_schumacher,10,2:22.835,5
2012,2,Malaysian Grand Prix,vergne,11,2:24.186,5
2012,2,Malaysian Grand Prix,alonso,12,2:32.702,5
2012,2,Malaysian Grand Prix,karthikeyan,13,2:17.219,5
2012,2,Malaysian Grand Prix,massa,14,2:16.527,5
2012,2,Malaysian Grand Prix,resta,15,2:16.598,5
2012,2,Malaysian Grand Prix,hulkenberg,16,2:35.023,5
2012,2,Malaysian Grand Prix,rosa,17,2:20.220,5
2012,2,Malaysian Grand Prix,ricciardo,18,2:34.823,5
2012,2,Malaysian Grand Prix,petrov,19,2:35.296,5
2012,2,Malaysian Grand Prix,glock,20,2:19.041,5
2012,2,Malaysian Grand Prix,kovalainen,21,2:42.149,5
2012,2,Malaysian Grand Prix,bruno_senna,22,2:16.925,5
2012,2,Malaysian Grand Prix,pic,23,2:22.322,5
